section_number, image_url, image_format, image_resolution_mpp, image_width, image_height, atlas_url, atlas_format, viewer_url
4,data2d/specimen_1/Specimen_1_4.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=4&type=hd
7,data2d/specimen_1/Specimen_1_7.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=7&type=hd
10,data2d/specimen_1/Specimen_1_10.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=10&type=hd
13,data2d/specimen_1/Specimen_1_13.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=13&type=hd
16,data2d/specimen_1/Specimen_1_16.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=16&type=hd
22,data2d/specimen_1/Specimen_1_22.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=22&type=hd
28,data2d/specimen_1/Specimen_1_28.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=28&type=hd
31,data2d/specimen_1/Specimen_1_31.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=31&type=hd
34,data2d/specimen_1/Specimen_1_34.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=34&type=hd
37,data2d/specimen_1/Specimen_1_37.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=37&type=hd
40,data2d/specimen_1/Specimen_1_40.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=40&type=hd
43,data2d/specimen_1/Specimen_1_43.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_1/Specimen_1_43.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=43
49,data2d/specimen_1/Specimen_1_49.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=49&type=hd
52,data2d/specimen_1/Specimen_1_52.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=52&type=hd
55,data2d/specimen_1/Specimen_1_55.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=55&type=hd
58,data2d/specimen_1/Specimen_1_58.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=58&type=hd
64,data2d/specimen_1/Specimen_1_64.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=64&type=hd
67,data2d/specimen_1/Specimen_1_67.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_1/Specimen_1_67.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=67
70,data2d/specimen_1/Specimen_1_70.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=70&type=hd
73,data2d/specimen_1/Specimen_1_73.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=73&type=hd
76,data2d/specimen_1/Specimen_1_76.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=76&type=hd
79,data2d/specimen_1/Specimen_1_79.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=79&type=hd
85,data2d/specimen_1/Specimen_1_85.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=85&type=hd
94,data2d/specimen_1/Specimen_1_94.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=94&type=hd
97,data2d/specimen_1/Specimen_1_97.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_1/Specimen_1_97.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=97
100,data2d/specimen_1/Specimen_1_100.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=100&type=hd
106,data2d/specimen_1/Specimen_1_106.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=106&type=hd
109,data2d/specimen_1/Specimen_1_109.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=109&type=hd
112,data2d/specimen_1/Specimen_1_112.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=112&type=hd
115,data2d/specimen_1/Specimen_1_115.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=115&type=hd
118,data2d/specimen_1/Specimen_1_118.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_1/Specimen_1_118.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=118
121,data2d/specimen_1/Specimen_1_121.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=121&type=hd
124,data2d/specimen_1/Specimen_1_124.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=124&type=hd
127,data2d/specimen_1/Specimen_1_127.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=127&type=hd
130,data2d/specimen_1/Specimen_1_130.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_1/Specimen_1_130.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=130
133,data2d/specimen_1/Specimen_1_133.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=133&type=hd
136,data2d/specimen_1/Specimen_1_136.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=136&type=hd
139,data2d/specimen_1/Specimen_1_139.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=139&type=hd
142,data2d/specimen_1/Specimen_1_142.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=0&region=-1&section=142&type=hd
