section_number, image_url, image_format, image_resolution_mpp, image_width, image_height, atlas_url, atlas_format, viewer_url
1,data2d/specimen_2/Specimen_2_1.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=1&type=hd
7,data2d/specimen_2/Specimen_2_7.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=7&type=hd
10,data2d/specimen_2/Specimen_2_10.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=10&type=hd
13,data2d/specimen_2/Specimen_2_13.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=13&type=hd
19,data2d/specimen_2/Specimen_2_19.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_2/Specimen_2_19.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=19
22,data2d/specimen_2/Specimen_2_22.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=22&type=hd
25,data2d/specimen_2/Specimen_2_25.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=25&type=hd
28,data2d/specimen_2/Specimen_2_28.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=28&type=hd
34,data2d/specimen_2/Specimen_2_34.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=34&type=hd
37,data2d/specimen_2/Specimen_2_37.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=37&type=hd
40,data2d/specimen_2/Specimen_2_40.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=40&type=hd
43,data2d/specimen_2/Specimen_2_43.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=43&type=hd
46,data2d/specimen_2/Specimen_2_46.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=46&type=hd
55,data2d/specimen_2/Specimen_2_55.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=55&type=hd
58,data2d/specimen_2/Specimen_2_58.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=58&type=hd
61,data2d/specimen_2/Specimen_2_61.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=61&type=hd
64,data2d/specimen_2/Specimen_2_64.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_2/Specimen_2_64.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=64
67,data2d/specimen_2/Specimen_2_67.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=67&type=hd
70,data2d/specimen_2/Specimen_2_70.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=70&type=hd
73,data2d/specimen_2/Specimen_2_73.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=73&type=hd
76,data2d/specimen_2/Specimen_2_76.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=1&region=-1&section=76&type=hd
