section_number, image_url, image_format, image_resolution_mpp, image_width, image_height, atlas_url, atlas_format, viewer_url
4,data2d/specimen_4/Specimen_4_4.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=4&type=hd
7,data2d/specimen_4/Specimen_4_7.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=7&type=hd
10,data2d/specimen_4/Specimen_4_10.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=10&type=hd
13,data2d/specimen_4/Specimen_4_13.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=13&type=hd
19,data2d/specimen_4/Specimen_4_19.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=19&type=hd
22,data2d/specimen_4/Specimen_4_22.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=22&type=hd
25,data2d/specimen_4/Specimen_4_25.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=25&type=hd
28,data2d/specimen_4/Specimen_4_28.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=28&type=hd
34,data2d/specimen_4/Specimen_4_34.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_4/Specimen_4_34.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=34
43,data2d/specimen_4/Specimen_4_43.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_4/Specimen_4_43.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=43
49,data2d/specimen_4/Specimen_4_49.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=49&type=hd
52,data2d/specimen_4/Specimen_4_52.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=52&type=hd
55,data2d/specimen_4/Specimen_4_55.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=55&type=hd
58,data2d/specimen_4/Specimen_4_58.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=58&type=hd
61,data2d/specimen_4/Specimen_4_61.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=61&type=hd
64,data2d/specimen_4/Specimen_4_64.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=64&type=hd
67,data2d/specimen_4/Specimen_4_67.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=67&type=hd
70,data2d/specimen_4/Specimen_4_70.tif,tif,1,64000,64000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_4/Specimen_4_70.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=70
73,data2d/specimen_4/Specimen_4_73.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=73&type=hd
79,data2d/specimen_4/Specimen_4_79.tif,tif,4,16000,16000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=3&region=-1&section=79&type=hd
