"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",1071.23,2299,1177.08,1.17708,1293,2058,1598.72,1601,110.195
"Hippocampus R",1112.47,2506,1283.07,1.28307,1249,2043,1608.35,1616,120.279
"Amygdala L",136.464,265,135.679,0.135679,1455,1734,1627.36,1645,66.4583
"Amygdala R",146.823,297,152.063,0.152063,1411,1778,1629.25,1630,76.6727
"Caudate L",1193.48,2889,1479.16,1.47916,1381,2160,1701.43,1704,110.932
"Caudate R",1143.99,2502,1281.02,1.28102,1367,2190,1714.89,1718,113.87
"Putamen L",1045.72,4292,2197.5,2.1975,1455,1999,1703.27,1704,80.7038
"Putamen R",1038.52,4321,2212.34,2.21234,1455,1969,1723.28,1733,80.3692
"Thalamus L",1220.2,5882,3011.57,3.01157,1411,1984,1709.34,1718,93.4496
"Thalamus R",1194.72,5774,2956.28,2.95628,1425,2102,1731.85,1733,92.8359
"CorpusCallosum",2031.8,3288,1683.45,1.68345,1278,2175,1647.4,1616,137.433
"Lateral Ventricle L",2273.94,5489,2810.36,2.81036,1705,3484,2603.1,2571,352.551
"Lateral Ventricle R",2254.18,5598,2866.17,2.86617,1690,3484,2577.98,2542,336.174
"Midbrain L",3018.45,13336,6828.01,6.82801,352,2146,1518.86,1542,198.833
"Cerebellum L",2197.73,13385,6853.09,6.85309,955,2381,1805.81,1821,125.793
"Cerebellum R",2175.11,13339,6829.54,6.82954,984,2307,1815.14,1821,124.484
"Subthalamic Nuc L",99.3125,152,77.8237,0.0778237,1440,1690,1568.28,1571,52.8113
"Subthalamic Nuc R",87.9705,131,67.0717,0.0670717,1470,1675,1581.84,1586,48.1774
"Hippocampal Comm",766.296,884,452.606,0.452606,1264,3131,2090.89,2027,331.145
"Fornix",548.694,846,433.15,0.43315,1308,2307,1675.49,1616,205.023
"Cortical Plate L",37390.2,101653,52046.1,52.0461,1131,2263,1649.21,1645,119.929
"Cortical Plate R",36717.9,99585,50987.3,50.9873,102,2249,1654.76,1660,121.675
"White Matter L",23081.1,121580,62248.7,62.2487,1352,2499,1951.51,1939,113.66
"White Matter R",22888.2,121519,62217.5,62.2175,1396,2425,1961.31,1954,115.701
"Internal Capsule L",1336.39,2875,1471.99,1.47199,1396,2160,1824.64,1836,91.3738
"Internal Capsule R",1526.85,3295,1687.03,1.68703,1308,2190,1838.74,1851,106.243
"CSF",70627.6,229247,117374,117.374,44,3484,2326.38,2424,566.892
